,LaComarca,Rivendel,Rohan,Gondor,Mordor,Isengard,Moria,Erebor,ReinodelBosque,Narnia,Telmar,Charn,CiudadEsmeralda,Winkie,Munchkin
LaComarca,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rivendel,500.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,1100.0,0.0,0.0,0.0,0.0
Rohan,0.0,550.0,0.0,600.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gondor,0.0,0.0,600.0,0.0,450.0,0.0,0.0,1250.0,0.0,550.0,0.0,0.0,1100.0,0.0,0.0
Mordor,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
Isengard,0.0,0.0,400.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moria,0.0,0.0,0.0,0.0,0.0,400.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erebor,0.0,0.0,0.0,1250.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReinodelBosque,0.0,950.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narnia,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,1300.0,0.0,0.0
Telmar,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0
Charn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,700.0,0.0
CiudadEsmeralda,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,300.0,200.0
Winkie,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,300.0,0.0,0.0
Munchkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
