,LaComarca,Rivendel,Rohan,Gondor,Mordor,Isengard,Moria,Erebor,ReinodelBosque,Narnia,Telmar,Charn,CiudadEsmeralda,Winkie,Munchkin
LaComarca,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rivendel,1.5,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.4,0.0,5.2,0.0,0.0,0.0,0.0
Rohan,0.0,1.6,0.0,1.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gondor,0.0,0.0,1.7,0.0,3.4,0.0,0.0,3.0,0.0,4.1,0.0,0.0,5.2,0.0,0.0
Mordor,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0
Isengard,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moria,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erebor,0.0,0.0,0.0,3.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ReinodelBosque,0.0,2.4,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narnia,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.4,5.6,0.0,0.0
Telmar,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
Charn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,3.4,0.0
CiudadEsmeralda,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,3.1,0.9
Winkie,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.1,0.0,0.0
Munchkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
